file,orig_bytes,w,h,mode_in,converted_mode,alpha_opaque,out_png_bytes
100pe.tif,6365832,1260,1257,RGBA,RGBA,False,1148036
acr pote am.tif,637660,342,446,RGBA,RGBA,False,273259
acr pote naranja.tif,249028,258,218,RGBA,RGBA,False,67307
acr pote rojo.tif,139536,142,200,RGBA,RGBA,False,56508
acr1.tif,776376,312,600,RGBA,RGBA,False,190364
acrilico.tif,1366380,585,572,RGBA,RGBA,False,281835
acrpomo1.tif,273068,216,288,RGBA,RGBA,False,58228
alquimia.tif,2964960,936,784,RGBA,RGBA,False,947610
arbol.tif,6766816,913,1844,RGBA,RGBA,False,1471584
arbol1.tif,5541272,774,1780,RGBA,RGBA,False,740591
artnow.tif,2090188,634,814,RGBA,RGBA,False,443859
aspersor.tif,571652,236,580,RGBA,RGBA,False,215297
baldepinturachico.tif,134776,158,172,RGBA,RGBA,False,47421
bastidor.tif,3840076,1068,892,RGBA,RGBA,False,1161916
bastidor1.tif,3380288,1452,578,RGBA,RGBA,False,393436
baudrillard.tif,1299408,384,830,RGBA,RGBA,False,377617
baygon.tif,899156,696,314,RGBA,RGBA,False,292400
blem.tif,3921660,1097,888,RGBA,RGBA,False,755694
bolsa canada.tif,7081516,1132,1558,RGBA,RGBA,False,2082957
bolse.tif,3639988,1040,868,RGBA,RGBA,False,851002
bong.tif,1424960,614,570,RGBA,RGBA,False,259622
botella peron.tif,2802968,869,798,RGBA,RGBA,False,660180
buda.tif,1459468,534,670,RGBA,RGBA,False,444468
buebird.tif,2944464,822,888,RGBA,RGBA,False,714562
byb.tif,1130244,560,492,RGBA,RGBA,False,381337
caballo.tif,6840752,1132,1505,RGBA,RGBA,False,1356547
caballo1.tif,2467960,971,628,RGBA,RGBA,False,566467
cabeza zombi.tif,261144,208,282,RGBA,RGBA,False,96894
caja.tif,1850464,578,788,RGBA,RGBA,False,723626
caja1.tif,3144920,996,782,RGBA,RGBA,False,790872
cajaotra.tif,885852,314,686,RGBA,RGBA,False,268073
cajatornillos.tif,564072,528,256,RGBA,RGBA,False,149333
cajita tornillos.tif,906188,488,450,RGBA,RGBA,False,297488
cajita.tif,260068,267,218,RGBA,RGBA,False,88716
camara.tif,1789284,648,680,RGBA,RGBA,False,455974
candelabro.tif,1269860,594,524,RGBA,RGBA,False,184570
canuto.tif,873716,466,454,RGBA,RGBA,False,132440
carpa.tif,1697864,888,470,RGBA,RGBA,False,487234
carpa1.tif,1685836,776,534,RGBA,RGBA,False,478259
carton.tif,1598540,758,518,RGBA,RGBA,False,396448
carver.tif,168700,224,158,RGBA,RGBA,False,50712
casio.tif,4658700,1350,858,RGBA,RGBA,False,1308212
cd.tif,1682032,677,612,RGBA,RGBA,False,308126
cenicero.tif,760608,562,326,RGBA,RGBA,False,303039
cenicero1.tif,2366160,1152,508,RGBA,RGBA,False,879139
cenicero2.tif,1679652,670,616,RGBA,RGBA,False,689688
cetol.tif,463888,302,362,RGBA,RGBA,False,178584
cinta.tif,1443924,584,606,RGBA,RGBA,False,446405
cintadepapel.tif,590264,442,320,RGBA,RGBA,False,158620
cintametrica.tif,1907308,610,772,RGBA,RGBA,False,153712
cocacola1.tif,1999576,576,857,RGBA,RGBA,False,281238
cocodrilo.tif,649844,312,500,RGBA,RGBA,False,169688
compresor.tif,161272,202,166,RGBA,RGBA,False,60029
conejito.tif,308824,298,238,RGBA,RGBA,False,88707
coso.tif,430112,286,353,RGBA,RGBA,False,94520
cpu.tif,1346352,552,599,RGBA,RGBA,False,313795
culo.tif,3939928,618,1582,RGBA,RGBA,False,1027656
dolar.tif,2613864,1324,488,RGBA,RGBA,False,1216657
enano.tif,3938392,858,1139,RGBA,RGBA,False,729877
engrampadora.tif,2943960,822,888,RGBA,RGBA,False,360855
escalera.tif,2126112,616,852,RGBA,RGBA,False,389374
escoba.tif,3775404,564,1663,RGBA,RGBA,False,373823
estatua.tif,1212696,488,607,RGBA,RGBA,False,286931
estopa.tif,497216,442,266,RGBA,RGBA,False,221435
fibron.tif,237820,216,248,RGBA,RGBA,False,32018
fibron1.tif,345056,376,214,RGBA,RGBA,False,54716
filtros.tif,1004280,524,466,RGBA,RGBA,False,292056
fisher.tif,1843396,720,630,RGBA,RGBA,False,601429
flor.tif,909696,623,354,RGBA,RGBA,False,174573
frasco.tif,245672,222,246,RGBA,RGBA,False,102821
frascoduraz.tif,1761356,402,1080,RGBA,RGBA,False,574800
frasquito.tif,229876,220,230,RGBA,RGBA,False,95728
galgo.tif,1108156,618,437,RGBA,RGBA,False,280575
goma.tif,1012200,448,550,RGBA,RGBA,False,300486
gorrion.tif,7185168,1757,1018,RGBA,RGBA,False,2481774
gta.tif,5950492,1112,1331,RGBA,RGBA,False,1643256
guante1.tif,1315024,708,456,RGBA,RGBA,False,213052
guante2.tif,1892304,708,660,RGBA,RGBA,False,182848
guante3.tif,1476812,494,734,RGBA,RGBA,False,457122
hombrelobo.tif,6993936,1046,1664,RGBA,RGBA,False,1432029
hopper.tif,8770436,1471,1485,RGBA,RGBA,False,2961551
inalambrico.tif,2541564,616,1020,RGBA,RGBA,False,489751
jabonpatito.tif,192408,212,198,RGBA,RGBA,False,55077
jackD.tif,2495532,802,769,RGBA,RGBA,False,582050
japan.tif,1738220,476,900,RGBA,RGBA,False,427228
jarron.tif,855200,525,394,RGBA,RGBA,False,291709
lafusa.tif,806036,386,504,RGBA,RGBA,False,256459
laislamisteriosa.tif,934800,420,540,RGBA,RGBA,False,325712
lamparita.tif,139984,214,134,RGBA,RGBA,False,50648
lapicero.tif,702396,333,508,RGBA,RGBA,False,196636
lapiz.tif,2259200,910,613,RGBA,RGBA,False,181924
latita.tif,1209868,362,816,RGBA,RGBA,False,472330
latita1.tif,173704,198,188,RGBA,RGBA,False,54366
librito.tif,343292,408,196,RGBA,RGBA,False,62886
libro.tif,829972,554,362,RGBA,RGBA,False,311993
lillos.tif,225268,192,258,RGBA,RGBA,False,75674
maletin.tif,1568800,428,902,RGBA,RGBA,False,528830
manet.tif,546964,406,320,RGBA,RGBA,False,190563
mano.tif,360464,372,226,RGBA,RGBA,False,65126
mascaradegas.tif,4703908,905,1292,RGBA,RGBA,False,822718
mascaraverde.tif,1090356,401,665,RGBA,RGBA,False,242299
mate.tif,1044056,664,384,RGBA,RGBA,False,205164
mdf.tif,1455132,574,622,RGBA,RGBA,False,453635
mehari.tif,79252,118,118,RGBA,RGBA,False,25579
mixsa.tif,1525336,574,652,RGBA,RGBA,False,501222
mogul.tif,4999760,1103,1127,RGBA,RGBA,False,1033732
moneda.tif,654280,412,380,RGBA,RGBA,False,260949
monito.tif,733152,421,419,RGBA,RGBA,False,173784
monitor.tif,991816,480,502,RGBA,RGBA,False,327148
